supergroup	division	subdivision	class	order	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Opisthokonta	Metazoa	Chordata	Actinopteri	Syngnathiformes	3	11	1	0	5208	5479	5336.33333333333
Opisthokonta	Metazoa	Chordata	Actinopteri	Tetraodontiformes	5	94	1	0	5175	5383	5220.6
Opisthokonta	Metazoa	Chordata	Actinopteri	Uranoscopiformes	5	34	7	0.0541286885764735	4893	5510	5240.2
Opisthokonta	Metazoa	Chordata	Actinopteri	Zeiformes	1	66	1	0	5486	5486	5486
Opisthokonta	Metazoa	Chordata	Amphibia	Anura	3	7	7	0.0332225461675746	4950	5266	5104.33333333333
Opisthokonta	Metazoa	Chordata	Amphibia	Caudata	1	1	1	0	5551	5551	5551
Opisthokonta	Metazoa	Chordata	Amphibia	Gymnophiona	1	1	1	0	6922	6922	6922
Opisthokonta	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	6	22	5	0.00306554888678445	4728	11428	7859.5
Opisthokonta	Metazoa	Chordata	Appendicularia	Copelata	2	5	1	0	4560	6060	5310
Opisthokonta	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	1	1	1	0	5179	5179	5179
Opisthokonta	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	4	2	1	0	6706	6770	6738
Opisthokonta	Metazoa	Chordata	Chondrichthyes	Rajiformes	1	1	1	0	6524	6524	6524
Opisthokonta	Metazoa	Chordata	Chondrichthyes	Squaliformes	1	1	1	0	6952	6952	6952
Opisthokonta	Metazoa	Chordata	Ascidiacea	Aplousobranchia	3	350	3	0.00808361044000749	5596	6201	6026.33333333333
Opisthokonta	Metazoa	Chordata	Ascidiacea	Phlebobranchia	6	888	665	0.00648547688555109	4410	12563	5969.5
Opisthokonta	Metazoa	Chordata	Ascidiacea	Stolidobranchia	2	2	1	0	5060	5142	5101
Opisthokonta	Metazoa	Chordata	Lepidosauria	Squamata	1	4	4	0.0596167127639534	6058	6768	6768
Opisthokonta	Metazoa	Chordata	Dipnoi	Ceratodontiformes	2	106	106	0.177975918312638	4649	12392	6255
Opisthokonta	Metazoa	Chordata	Cladistia	Polypteriformes	1	4	4	0.0140642686959011	7027	7153	7027
Opisthokonta	Metazoa	Mollusca	Gastropoda	Architaenioglossa	3	83	9	0.00206470613572324	5137	6937	6193.33333333333
Opisthokonta	Metazoa	Mollusca	Gastropoda	Caenogastropoda	1	1	1	0	6527	6527	6527
Opisthokonta	Metazoa	Mollusca	Gastropoda	Heterobranchia	9	236	16	0.0064210038054851	5479	6911	6504.44444444444
Opisthokonta	Metazoa	Mollusca	Gastropoda	Hygrophila	2	306	4	0.00332632459896796	5400	6594	5997
Opisthokonta	Metazoa	Mollusca	Gastropoda	Lepetellida	6	65	5	0.0722817676577318	5749	6451	6234.83333333333
Opisthokonta	Metazoa	Mollusca	Gastropoda	Littorinimorpha	1	3	3	0.33810595049839	5211	6564	6426
Opisthokonta	Metazoa	Mollusca	Gastropoda	Neogastropoda	4	18	18	0.0618771915863645	4781	6980	5710
Opisthokonta	Metazoa	Mollusca	Gastropoda	Neomphalina	2	16	16	0.10271546167819	4707	6546	5986.5
Opisthokonta	Metazoa	Mollusca	Gastropoda	Nudibranchia	4	1	1	0	6567	7140	6951.25
Opisthokonta	Metazoa	Mollusca	Gastropoda	Patellogastropoda	5	31	6	0.0242153323921168	5226	6893	6367.4
Opisthokonta	Metazoa	Mollusca	Gastropoda	Stylommatophora	2	7	7	0.145164246160099	5282	6710	5891.5
Opisthokonta	Metazoa	Mollusca	Gastropoda	Trochida	5	3	1	0	6334	6369	6347.4
Opisthokonta	Metazoa	Mollusca	Bivalvia	Arcoida	2	2	1	0	5382	6346	5864
Opisthokonta	Metazoa	Mollusca	Bivalvia	Cardiida	12	34	11	0.0324590909736987	4939	10159	6249
Opisthokonta	Metazoa	Mollusca	Bivalvia	Myida	5	505	2	0.00164128395920304	5511	6568	6332.8
Opisthokonta	Metazoa	Mollusca	Bivalvia	Mytilida	14	107	96	0.0169840542032026	4640	11390	6824.5
Opisthokonta	Metazoa	Mollusca	Bivalvia	Ostreida	15	73	4	0.00964919270305773	5104	6800	6526.93333333333
Opisthokonta	Metazoa	Mollusca	Bivalvia	Pectinida	6	46	20	0.0466681316782918	5075	6567	5957.83333333333
Opisthokonta	Metazoa	Mollusca	Bivalvia	Pterioida	1	1	1	0	6645	6645	6645
Opisthokonta	Metazoa	Mollusca	Bivalvia	Unionida	2	126	1	0	6525	6527	6526
Opisthokonta	Metazoa	Mollusca	Bivalvia	Venerida	7	6	4	0.0150328369732149	5467	6800	6395.42857142857
Opisthokonta	Metazoa	Echinodermata	Echinoidea	Camarodonta	4	6	2	0.00180378443494353	4792	6497	5912
Opisthokonta	Metazoa	Echinodermata	Echinoidea	Temnopleuroida	2	10	2	0.000620515594428068	6451	6499	6461
